T,p,phi,tau_e,tign
900,6,0.65,4.99E-03,1.19E-01
900,6,0.725,4.71E-03,1.12E-01
900,6,0.8,4.47E-03,1.06E-01
900,6,0.875,4.27E-03,1.00E-01
900,6,0.95,4.10E-03,9.56E-02
900,6,1.025,3.95E-03,9.17E-02
900,6,1.1,3.81E-03,8.82E-02
900,6,1.175,3.70E-03,8.51E-02
900,6,1.25,3.59E-03,8.23E-02
900,6,1.325,3.50E-03,7.98E-02
900,6,1.4,3.41E-03,7.76E-02
900,6,1.475,3.33E-03,7.56E-02
900,6,1.55,3.26E-03,7.37E-02
900,6,1.625,3.20E-03,7.20E-02
900,6,1.7,3.14E-03,7.05E-02
900,6,1.775,3.08E-03,6.90E-02
900,6,1.85,3.03E-03,6.77E-02
900,6,1.925,2.98E-03,6.65E-02
900,6,2,2.94E-03,6.54E-02
900,6.5,0.575,5.04E-03,1.22E-01
900,6.5,0.65,4.71E-03,1.14E-01
900,6.5,0.725,4.45E-03,1.06E-01
900,6.5,0.8,4.22E-03,1.00E-01
900,6.5,0.875,4.04E-03,9.54E-02
900,6.5,0.95,3.87E-03,9.10E-02
900,6.5,1.025,3.73E-03,8.72E-02
900,6.5,1.1,3.61E-03,8.39E-02
900,6.5,1.175,3.50E-03,8.09E-02
900,6.5,1.25,3.40E-03,7.83E-02
900,6.5,1.325,3.31E-03,7.60E-02
900,6.5,1.4,3.23E-03,7.38E-02
900,6.5,1.475,3.15E-03,7.19E-02
900,6.5,1.55,3.09E-03,7.01E-02
900,6.5,1.625,3.03E-03,6.85E-02
900,6.5,1.7,2.97E-03,6.70E-02
900,6.5,1.775,2.92E-03,6.57E-02
900,6.5,1.85,2.87E-03,6.44E-02
900,6.5,1.925,2.82E-03,6.33E-02
900,6.5,2,2.78E-03,6.22E-02
900,7,0.575,4.77E-03,1.17E-01
900,7,0.65,4.47E-03,1.08E-01
900,7,0.725,4.22E-03,1.02E-01
900,7,0.8,4.01E-03,9.59E-02
900,7,0.875,3.83E-03,9.10E-02
900,7,0.95,3.67E-03,8.68E-02
900,7,1.025,3.54E-03,8.32E-02
900,7,1.1,3.42E-03,8.00E-02
900,7,1.175,3.32E-03,7.72E-02
900,7,1.25,3.22E-03,7.47E-02
900,7,1.325,3.14E-03,7.24E-02
900,7,1.4,3.06E-03,7.04E-02
900,7,1.475,2.99E-03,6.86E-02
900,7,1.55,2.93E-03,6.69E-02
900,7,1.625,2.87E-03,6.54E-02
900,7,1.7,2.82E-03,6.39E-02
900,7,1.775,2.77E-03,6.27E-02
900,7,1.85,2.72E-03,6.15E-02
900,7,1.925,2.68E-03,6.03E-02
900,7,2,2.64E-03,5.93E-02
900,7.5,0.575,4.54E-03,1.12E-01
900,7.5,0.65,4.25E-03,1.04E-01
900,7.5,0.725,4.01E-03,9.72E-02
900,7.5,0.8,3.81E-03,9.17E-02
900,7.5,0.875,3.64E-03,8.70E-02
900,7.5,0.95,3.49E-03,8.30E-02
900,7.5,1.025,3.37E-03,7.96E-02
900,7.5,1.1,3.26E-03,7.65E-02
900,7.5,1.175,3.16E-03,7.38E-02
900,7.5,1.25,3.07E-03,7.14E-02
900,7.5,1.325,2.99E-03,6.93E-02
900,7.5,1.4,2.92E-03,6.73E-02
900,7.5,1.475,2.85E-03,6.56E-02
900,7.5,1.55,2.79E-03,6.40E-02
900,7.5,1.625,2.73E-03,6.25E-02
900,7.5,1.7,2.68E-03,6.11E-02
900,7.5,1.775,2.64E-03,5.99E-02
900,7.5,1.85,2.59E-03,5.87E-02
900,7.5,1.925,2.55E-03,5.77E-02
900,7.5,2,2.52E-03,5.67E-02
900,8,0.575,4.32E-03,1.07E-01
900,8,0.65,4.05E-03,9.94E-02
900,8,0.725,3.82E-03,9.31E-02
900,8,0.8,3.63E-03,8.79E-02
900,8,0.875,3.47E-03,8.34E-02
900,8,0.95,3.33E-03,7.96E-02
900,8,1.025,3.21E-03,7.62E-02
900,8,1.1,3.11E-03,7.33E-02
900,8,1.175,3.01E-03,7.07E-02
900,8,1.25,2.93E-03,6.84E-02
900,8,1.325,2.85E-03,6.64E-02
900,8,1.4,2.78E-03,6.45E-02
900,8,1.475,2.72E-03,6.28E-02
900,8,1.55,2.66E-03,6.13E-02
900,8,1.625,2.61E-03,5.99E-02
900,8,1.7,2.56E-03,5.86E-02
900,8,1.775,2.52E-03,5.74E-02
900,8,1.85,2.48E-03,5.63E-02
900,8,1.925,2.44E-03,5.53E-02
900,8,2,2.40E-03,5.43E-02
900,8.5,0.575,4.13E-03,1.03E-01
900,8.5,0.65,3.87E-03,9.55E-02
900,8.5,0.725,3.65E-03,8.94E-02
900,8.5,0.8,3.47E-03,8.44E-02
900,8.5,0.875,3.32E-03,8.01E-02
900,8.5,0.95,3.19E-03,7.64E-02
900,8.5,1.025,3.07E-03,7.32E-02
900,8.5,1.1,2.97E-03,7.04E-02
900,8.5,1.175,2.88E-03,6.79E-02
900,8.5,1.25,2.80E-03,6.57E-02
900,8.5,1.325,2.73E-03,6.37E-02
900,8.5,1.4,2.66E-03,6.19E-02
900,8.5,1.475,2.60E-03,6.03E-02
900,8.5,1.55,2.55E-03,5.88E-02
900,8.5,1.625,2.50E-03,5.75E-02
900,8.5,1.7,2.45E-03,5.62E-02
900,8.5,1.775,2.41E-03,5.51E-02
900,8.5,1.85,2.37E-03,5.40E-02
900,8.5,1.925,2.33E-03,5.31E-02
900,8.5,2,2.30E-03,5.22E-02
900,9,0.575,3.95E-03,9.91E-02
900,9,0.65,3.70E-03,9.19E-02
900,9,0.725,3.50E-03,8.61E-02
900,9,0.8,3.33E-03,8.12E-02
900,9,0.875,3.18E-03,7.71E-02
900,9,0.95,3.05E-03,7.35E-02
900,9,1.025,2.94E-03,7.04E-02
900,9,1.1,2.85E-03,6.77E-02
900,9,1.175,2.76E-03,6.53E-02
900,9,1.25,2.68E-03,6.32E-02
900,9,1.325,2.61E-03,6.13E-02
900,9,1.4,2.55E-03,5.96E-02
900,9,1.475,2.50E-03,5.80E-02
900,9,1.55,2.44E-03,5.66E-02
900,9,1.625,2.40E-03,5.53E-02
900,9,1.7,2.35E-03,5.41E-02
900,9,1.775,2.31E-03,5.30E-02
900,9,1.85,2.27E-03,5.20E-02
900,9,1.925,2.24E-03,5.10E-02
900,9,2,2.21E-03,5.02E-02
900,9.5,0.575,3.79E-03,9.55E-02
900,9.5,0.65,3.55E-03,8.86E-02
900,9.5,0.725,3.36E-03,8.29E-02
900,9.5,0.8,3.19E-03,7.82E-02
900,9.5,0.875,3.05E-03,7.43E-02
900,9.5,0.95,2.93E-03,7.08E-02
900,9.5,1.025,2.83E-03,6.79E-02
900,9.5,1.1,2.73E-03,6.53E-02
900,9.5,1.175,2.65E-03,6.30E-02
900,9.5,1.25,2.58E-03,6.09E-02
900,9.5,1.325,2.51E-03,5.91E-02
900,9.5,1.4,2.45E-03,5.74E-02
900,9.5,1.475,2.40E-03,5.59E-02
900,9.5,1.55,2.35E-03,5.45E-02
900,9.5,1.625,2.30E-03,5.33E-02
900,9.5,1.7,2.26E-03,5.21E-02
900,9.5,1.775,2.22E-03,5.11E-02
900,9.5,1.85,2.18E-03,5.01E-02
900,9.5,1.925,2.15E-03,4.92E-02
900,9.5,2,2.12E-03,4.84E-02
900,10,0.575,3.65E-03,9.22E-02
900,10,0.65,3.42E-03,8.55E-02
900,10,0.725,3.23E-03,8.01E-02
900,10,0.8,3.07E-03,7.55E-02
900,10,0.875,2.94E-03,7.17E-02
900,10,0.95,2.82E-03,6.84E-02
900,10,1.025,2.72E-03,6.55E-02
900,10,1.1,2.63E-03,6.30E-02
900,10,1.175,2.55E-03,6.08E-02
900,10,1.25,2.48E-03,5.88E-02
900,10,1.325,2.42E-03,5.70E-02
900,10,1.4,2.36E-03,5.54E-02
900,10,1.475,2.31E-03,5.40E-02
900,10,1.55,2.26E-03,5.26E-02
900,10,1.625,2.22E-03,5.14E-02
900,10,1.7,2.18E-03,5.03E-02
900,10,1.775,2.14E-03,4.93E-02
900,10,1.85,2.10E-03,4.84E-02
900,10,1.925,2.07E-03,4.75E-02
900,10,2,2.04E-03,4.67E-02
900,10.5,0.575,3.51E-03,8.91E-02
900,10.5,0.65,3.29E-03,8.27E-02
900,10.5,0.725,3.11E-03,7.74E-02
900,10.5,0.8,2.96E-03,7.30E-02
900,10.5,0.875,2.83E-03,6.93E-02
900,10.5,0.95,2.72E-03,6.61E-02
900,10.5,1.025,2.62E-03,6.33E-02
900,10.5,1.1,2.54E-03,6.09E-02
900,10.5,1.175,2.46E-03,5.87E-02
900,10.5,1.25,2.39E-03,5.68E-02
900,10.5,1.325,2.33E-03,5.51E-02
900,10.5,1.4,2.28E-03,5.36E-02
900,10.5,1.475,2.22E-03,5.22E-02
900,10.5,1.55,2.18E-03,5.09E-02
900,10.5,1.625,2.14E-03,4.97E-02
900,10.5,1.7,2.10E-03,4.86E-02
900,10.5,1.775,2.06E-03,4.77E-02
900,10.5,1.85,2.03E-03,4.67E-02
900,10.5,1.925,2.00E-03,4.59E-02
900,10.5,2,1.97E-03,4.51E-02
900,11,0.575,3.39E-03,8.63E-02
900,11,0.65,3.18E-03,8.00E-02
900,11,0.725,3.00E-03,7.49E-02
900,11,0.8,2.86E-03,7.07E-02
900,11,0.875,2.73E-03,6.71E-02
900,11,0.95,2.62E-03,6.40E-02
900,11,1.025,2.53E-03,6.13E-02
900,11,1.1,2.45E-03,5.89E-02
900,11,1.175,2.37E-03,5.69E-02
900,11,1.25,2.31E-03,5.50E-02
900,11,1.325,2.25E-03,5.33E-02
900,11,1.4,2.20E-03,5.19E-02
900,11,1.475,2.15E-03,5.05E-02
900,11,1.55,2.10E-03,4.93E-02
900,11,1.625,2.06E-03,4.81E-02
900,11,1.7,2.03E-03,4.71E-02
900,11,1.775,1.99E-03,4.61E-02
900,11,1.85,1.96E-03,4.53E-02
900,11,1.925,1.93E-03,4.44E-02
900,11,2,1.90E-03,4.37E-02
900,11.5,0.575,3.27E-03,8.37E-02
900,11.5,0.65,3.07E-03,7.76E-02
900,11.5,0.725,2.90E-03,7.26E-02
900,11.5,0.8,2.76E-03,6.85E-02
900,11.5,0.875,2.64E-03,6.50E-02
900,11.5,0.95,2.54E-03,6.20E-02
900,11.5,1.025,2.45E-03,5.94E-02
900,11.5,1.1,2.37E-03,5.71E-02
900,11.5,1.175,2.30E-03,5.51E-02
900,11.5,1.25,2.23E-03,5.33E-02
900,11.5,1.325,2.18E-03,5.17E-02
900,11.5,1.4,2.12E-03,5.03E-02
900,11.5,1.475,2.08E-03,4.89E-02
900,11.5,1.55,2.03E-03,4.77E-02
900,11.5,1.625,2.00E-03,4.67E-02
900,11.5,1.7,1.96E-03,4.56E-02
900,11.5,1.775,1.93E-03,4.47E-02
900,11.5,1.85,1.90E-03,4.39E-02
900,11.5,1.925,1.87E-03,4.31E-02
900,11.5,2,1.84E-03,4.23E-02
900,12,0.575,3.17E-03,8.12E-02
900,12,0.65,2.97E-03,7.53E-02
900,12,0.725,2.81E-03,7.05E-02
900,12,0.8,2.67E-03,6.65E-02
900,12,0.875,2.55E-03,6.31E-02
900,12,0.95,2.45E-03,6.02E-02
900,12,1.025,2.37E-03,5.77E-02
900,12,1.1,2.29E-03,5.54E-02
900,12,1.175,2.22E-03,5.35E-02
900,12,1.25,2.16E-03,5.17E-02
900,12,1.325,2.11E-03,5.02E-02
900,12,1.4,2.06E-03,4.88E-02
900,12,1.475,2.01E-03,4.75E-02
900,12,1.55,1.97E-03,4.63E-02
900,12,1.625,1.93E-03,4.53E-02
900,12,1.7,1.90E-03,4.43E-02
900,12,1.775,1.87E-03,4.34E-02
900,12,1.85,1.84E-03,4.26E-02
900,12,1.925,1.81E-03,4.18E-02
900,12,2,1.78E-03,4.11E-02
900,12.5,0.575,3.07E-03,7.89E-02
900,12.5,0.65,2.88E-03,7.32E-02
900,12.5,0.725,2.72E-03,6.85E-02
900,12.5,0.8,2.59E-03,6.46E-02
900,12.5,0.875,2.48E-03,6.13E-02
900,12.5,0.95,2.38E-03,5.85E-02
900,12.5,1.025,2.29E-03,5.60E-02
900,12.5,1.1,2.22E-03,5.39E-02
900,12.5,1.175,2.15E-03,5.20E-02
900,12.5,1.25,2.10E-03,5.03E-02
900,12.5,1.325,2.04E-03,4.88E-02
900,12.5,1.4,1.99E-03,4.74E-02
900,12.5,1.475,1.95E-03,4.62E-02
900,12.5,1.55,1.91E-03,4.50E-02
900,12.5,1.625,1.87E-03,4.40E-02
